Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Valeur US $ du PIB par habitant,Coût d'une alimentation équilibré (PPP dollar par personne par jour),Coût des aliments d'origine animale,Population totale,Population urbaine,Part de l'élevage de poulet (%),Political_Stability,distance_km
Madagascar,-1.104780965197341,-0.4227287843679392,-0.2896455267310826,-0.5644847262313543,-0.4297433685540601,-0.2595804411386225,-0.4072376996688063,-0.7140088869485404,-0.5514676631428126,0.7521086728965694,0.05164362320159264,-0.15784663980850996,-0.6195898685474921,-0.2102215680540696,0.7076986978985432
Malaisie,1.3840625625846823,2.01343943440291,-0.04045829343704672,0.0918702537586519,1.456482665987275,3.689167172351777,2.067121098247042,-0.0001332063642905848,-0.07727758709865659,-0.2478286360212133,0.19339021554563693,0.5356361564380786,3.4712467296101197,0.3095194869778983,1.0853024297486755
Malawi,-0.9448135598223694,-0.3974014994424463,-0.2896455267310826,-0.5644847262313543,-0.40014261125524225,-0.012783715295472524,-0.3334436758721681,-0.7146796960886447,-1.0776785914112217,1.094192489105284,-0.15069800513627976,-0.45521572882950123,-0.5532749980538604,-0.1483476329312163,0.4220428585905854
Maldives,-0.3298739235757259,-0.5335356559169707,-0.2896455267310826,-0.44865737682135315,-0.5382794786497254,-0.3582991314758825,-0.5292237390061062,-0.050093272550415915,0.6370087299805144,0.15214628754589998,-0.5756920194981092,-0.5956639972747091,0.1457948800190553,0.44564214424817555,0.5928008678566118
Mali,-1.1068584639684445,-0.4702174436032384,-0.2896455267310826,-0.5548324471138542,-0.4642775854026809,-0.3582991314758825,-0.45693571569511365,-0.6909507332790671,-0.7255374378931994,0.6626405978881356,-0.11578325179207359,-0.2357301676225166,-0.7710798020604673,-2.202562279009946,-0.46837656280497053
Malte,1.3279700957648872,-0.5303697453012841,-0.2896455267310826,-0.4776142141738534,-0.5300570460667204,-0.3582991314758825,-0.5231997370635235,1.508437527619783,0.46293895523012857,-0.43202761397975176,-0.5755197878860111,-0.5844162456872704,1.165436095015035,1.7078704207543833,-1.0754000829318806
Maroc,0.20819825814008713,0.6283535400400165,-0.2839821805198545,-0.5355278888788539,0.6769960571184059,-0.3582991314758825,0.6183486310559,-0.5259184785868772,-1.105689819531974,-0.4162391301547341,0.28011167631681083,0.45283386855553176,0.6081478255456163,-0.2968450772260643,-1.0397767814054735
Mauritanie,-0.9759760413889224,-0.5177061028385376,-0.2896455267310826,-0.3328300274113521,-0.5136121809007106,-0.3582991314758825,-0.5216937365778778,-0.6354284066230906,0.37690446885924767,0.43633899639621676,-0.4856683990134215,-0.4923572363897987,-0.932304028489939,-0.6185895398649015,-0.5537044709136133
Mongolie,-1.1089359627395479,-0.5382845218405006,-0.2896455267310826,-0.46796193505635336,-0.5349905056165234,-0.3582991314758825,-0.5292237390061062,-0.4829265954574498,2.563781064286514,-0.6372779037049809,-0.5116431476736922,-0.5034514901486864,-1.0004440789054139,1.1386302176241327,0.2819248954217546
Monténégro,-0.10342655752544168,-0.5367015665326573,-0.2896455267310826,-0.4872664932913535,-0.5333460190999224,-0.3582991314758825,-0.5231997370635235,-0.18478461196694648,0.2688611603934901,-0.07941814188769192,-0.571786084840526,-0.583901593353585,-0.4754006547218892,0.08677332053562631,-1.1397251147472778
Mozambique,-1.0569984934619598,-0.3689083039012668,-0.2896455267310826,-0.3328300274113521,-0.3804087730560304,-0.1608617508013625,-0.39067169432670384,-0.7179562303035579,-0.4634323747633068,0.6100123184714107,0.11023164214456169,-0.10148986907282584,-0.3920507716243887,-0.9898331506020215,0.727667995585717
Myanmar,0.7566579337114178,2.084672423255859,-0.2896455267310826,-0.5355278888788539,2.115921759144272,1.8628714011124672,1.9737490681370098,-0.6581489286517104,0.8871089810586557,0.7994741243716217,0.6892740778913953,0.16901958342626688,-0.10123877074405882,-1.1754549559705814,0.7472573233276278
Namibie,-0.4233613682753846,-0.5082083709914778,-0.22168537219634554,-0.2845686318238516,-0.5037452618011046,-0.3582991314758825,-0.5126577336640037,-0.3587813325945339,-0.01525272483127817,-0.7425344625384318,-0.5295009414828092,-0.5445684672947271,-0.8659891579963073,0.9406336252310021,0.5307708434108428
Nicaragua,0.12925330483815317,-0.33408328712871405,-0.2896455267310826,-0.5065710515263537,-0.32285174497499575,-0.3582991314758825,-0.3138656695587743,-0.5935732135293127,-0.1433040533832866,0.7310573611298792,-0.42901830917485667,-0.43075398246811436,-0.6427088142241709,0.09914810756019696,0.7495350597534621
Niger,-1.23981838531907,-0.5192890581463809,-0.2896455267310826,-0.5355278888788539,-0.5169011539339126,-0.3089397863072525,-0.5006097297788383,-0.7138272970843035,-0.8255775383244555,1.3731223700139283,-0.05654419491410345,-0.4361667629282323,-0.9061431162768548,-1.410575909437424,-0.5213146039806426
